Address,Pool token fullBalanceOf
0x45a5068955fce555922009b90a8f13bca8f1547c,1363939690861346595
0x7c394cec0247e63d02643ce854197728e05233fa,1356352662295131587511
0xa0e7edd7dfd9828b13393732e9cb34651c06ec14,1370785854616864817
0x60b85e1e4218452e581d2a1d342b9fe9c2a6fa18,1376303625716300982160
0x33f14f6233bfdefd12520c6eca0d4ad526f2c6e6,1376144956348871652
0xb0e1505d9c8eff6936b927816a819b1ebaabd67e,1382154858312795005
0x928efa31db4d805dc355945a5ab3c8c7a8db2fe2,1392133856684335885
0x0ef8582381874780e4cdbbeaef8bfa1f9cd34dae,145057487252598073569
0xc8145caf71b4af6c6cc682fc7e1a41c8769c6e86,1406285303802136048385
0x42d097d2e93aea1ae31542b984f21ded3e1331f1,1400658149466714126
0xe8b87679bf143ddc835ced7670b6f594a501fd80,14590979373707292194
0x813413997503e41173f210c908cdb3528835cd42,1448164631907574895
0x2ae9c12d8356f11d1be6c4e91fe64c10783d42e5,1477311483898144089
0x05c18ffc1c74cb67cb26bb5222aaf3355b74bbc3,1487695417742151843
0xf53feaeb035361c046e5669745695e450ebb4028,15173537762697918839
0xb5184bc3d68447fdba1da2f550a363e4465d666c,154922644525984838258
0xd99a8618e14462a2a323a5446c5856ceb8742e94,154547451563656912809681
0x98c8061f7ad5aeec83012fc55b24f1fd6eb1c660,1533307363073493093610
0xd8e10962745f8582cfac5c1ba0039ca968709ceb,1531382633859212152
0x8b327fb1da65935e3d434e3a8c8da446a2e46b38,1543538503361571852313
0x1bf631120ce843ec8c9c04e9560c454e3bc2d1f5,1570123086419015772
0xdf88cbe36a66280300fb23dbd60b9fda671fb332,158279916330308645866
0x399abd36b9c7cef008f75d8805ee5fdf05d41773,1625014855655265352
0xb453f19e3a5905857b7eb53e007c191a15debaf4,163770707142841226590
0x68a649c1a4335c3f5c6fab1c60fb438ff5098531,1650453557212781423
0x043500bb7086c4b6457cd8362fd7306b1c90db00,1733732971846094488
0x161f47eeffbcad412bb3d8b890bf4cb3a7e80a95,1704400191881970765
0xd974991292c314696f68eaa2732191bb1688331d,1726522917480444569
0xf1111dcdfbb2e5d93173aecfa4e388b48a31f17c,1726124480640883083
0x02ce3b6c086e88616783163fb095578c86fbd4a9,1752274757396407719116
0x35dcf2c2223f335266e17dacbe8777d7c5bf8a15,1812259786713774348392
0xd527355a213acad5fcb66a81cfc081474b611f73,1834674656667675819
0x9cff5ac9420e3f1f3b3ff21bcd50b4fd6c7f1f23,1842734671510568906
0x6b6582abce056d5394c18392539ee72d8979e160,1837680424841806378
0x80feeb2c7956a7a8e87a7e9e90bfd61baedd913a,1834429602517105630
0x4dab9b8fca17a37e5ef0eef7d1ac09e2ac1580fb,1837424980617559035
0xfac44bfdc053a9615c6b0527f44416914628a0c4,1959236560663827142167
0x2d65e96a8aefe579d4839a77bb1d4811847358bc,190353781736505379695
0xfe97b38192cb30add0bbe5e01e6a617562cc8318,19417344568561979629905
0xdb9a122beafa7518947437477b82ac3f08727ece,1958211080004506335
0x751b1d5235aa34ed5243c57d9313c67ac386ec08,1957821518700580332
0xa68e8c09dddd6ab170d5872422f38877622adada,20107105820385566843993
0xe2307837524db8961c4541f943598654240bd62f,1980175911159535371
0x2b2411bd9dcfb0d3f375521917e623676987dfb1,2009418314290970873696
